filename,author,gender,faction
11002572,Peter Kurt Würzbach,männlich,26
11002581,Karl Fred Zander,männlich,-1
11002582,Uta Zapf,weiblich,25
11002597,Friedrich Zimmermann,männlich,7
11002603,Wolfgang Zöller,männlich,20
11002612,Werner Zywietz,männlich,20
11002617,Peter Altmaier,männlich,26
11002622,Klaus Barthel,männlich,26
11002624,Marieluise Beck-Oberdorf,weiblich,26
11002625,Volker Beck,männlich,-1
11002627,Matthias Berninger,männlich,-1
11002632,Wolfgang Bosbach,männlich,20
11002634,Hildebrecht Braun,männlich,20
11002636,Eva Maria Bulling-Schröter,weiblich,23
11002643,Franziska Eichstädt-Bohlig,weiblich,4
11002652,Andrea Fischer,weiblich,7
11002657,Gerhard Friedrich,männlich,23
11002659,Wolfgang Gerhardt,männlich,4
11002666,Hermann Gröhe,männlich,-1
11002667,Manfred Grund,männlich,4
11002669,Alfred Hartenbach,männlich,13
11002671,Rolf Hempelmann,männlich,13
11002672,Barbara Hendricks,weiblich,4
11002678,Walter Hirche,männlich,23
11002680,Ulrike Höfken-Deipenbrock,weiblich,7
11002685,Michaele Hustedt,weiblich,13
11002696,Klaus Kinkel,männlich,4
11002698,Eckart Klaeden,männlich,20
11002700,Heidi Knake-Werner,weiblich,23
11002701,Monika Knoche,weiblich,20
11002706,Nicolette Kressl,weiblich,23
11002709,Hermann Kues,männlich,26
11002715,Oskar Lafontaine,männlich,23
11002720,Steffi Lemke,weiblich,23
11002721,Vera Wollenberger,weiblich,23
11002728,Christa Luft,weiblich,26
11002733,Michael Meister,männlich,4
11002735,Friedrich Merz,männlich,23
11002736,Oswald Metzger,männlich,-1
11002738,Hans Michelbach,männlich,26
11002741,Kerstin Müller,weiblich,-1
11002742,Gerd Müller,männlich,20
11002743,Winfried Nachtwei,männlich,4
11002746,Cem Özdemir,männlich,20
11002754,Thomas Rachel,männlich,23
11002759,Günter Rexrodt,männlich,26
11002765,Norbert Röttgen,männlich,26
